    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/03/06,14:31:36,MCA
MCA Data File,.asc
Comment,Labo:
Date,2019/12/11,15:52:55
Live Time,0,Real Time,0,Preset time,10000000,Dead Time,0,(%)
Spectrum Data,Start ch,0,End ch,1023
  chn  ,  data
   0,       0
   1,       0
   2,       0
   3,       0
   4,       0
   5,       0
   6,       0
   7,       0
   8,       0
   9,       0
  10,       0
  11,       0
  12,       0
  13,       0
  14,       0
  15,       0
  16,       0
  17,       0
  18,       0
  19,       0
  20,       0
  21,       0
  22,       0
  23,       0
  24,       0
  25,       0
  26,       0
  27,       0
  28,       0
  29,       0
  30,       0
  31,       0
  32,       0
  33,       0
  34,       0
  35,       0
  36,       0
  37,       0
  38,       0
  39,       0
  40,       0
  41,       0
  42,       0
  43,       0
  44,       0
  45,       0
  46,       0
  47,       0
  48,       0
  49,       0
  50,       0
  51,       0
  52,       0
  53,       0
  54,       0
  55,       0
  56,       0
  57,       0
  58,       0
  59,       0
  60,       0
  61,       0
  62,       0
  63,       0
  64,       0
  65,       0
  66,       0
  67,       0
  68,       0
  69,       0
  70,       0
  71,       0
  72,       0
  73,       0
  74,       0
  75,       0
  76,       0
  77,       0
  78,       0
  79,       0
  80,       0
  81,       0
  82,       0
  83,       0
  84,       0
  85,       0
  86,       0
  87,       0
  88,       0
  89,       0
  90,       0
  91,       0
  92,       0
  93,       0
  94,       0
  95,       0
  96,       0
  97,       0
  98,       0
  99,       0
 100,       0
 101,       0
 102,       0
 103,       0
 104,       0
 105,       0
 106,       0
 107,       0
 108,       0
 109,       6
 110,   39370
 111,   78196
 112,   78410
 113,   76596
 114,   75597
 115,   75011
 116,   74478
 117,   75042
 118,   74873
 119,   74689
 120,   74218
 121,   73507
 122,   72166
 123,   71806
 124,   71584
 125,   71350
 126,   72051
 127,   72516
 128,   72847
 129,   72999
 130,   72636
 131,   72400
 132,   72155
 133,   71025
 134,   71315
 135,   71287
 136,   71105
 137,   70945
 138,   71236
 139,   71926
 140,   70919
 141,   70816
 142,   71618
 143,   71791
 144,   71180
 145,   71622
 146,   71411
 147,   71759
 148,   72220
 149,   71563
 150,   71242
 151,   71698
 152,   71608
 153,   71294
 154,   71477
 155,   71581
 156,   70994
 157,   71551
 158,   71402
 159,   71578
 160,   71734
 161,   71330
 162,   71201
 163,   71451
 164,   70836
 165,   71978
 166,   71695
 167,   71216
 168,   71482
 169,   72286
 170,   71472
 171,   70934
 172,   71401
 173,   71348
 174,   71594
 175,   70816
 176,   71615
 177,   70890
 178,   71168
 179,   71321
 180,   71519
 181,   71310
 182,   71077
 183,   71274
 184,   70394
 185,   71302
 186,   70775
 187,   71416
 188,   71059
 189,   71053
 190,   70466
 191,   71151
 192,   70119
 193,   71166
 194,   71057
 195,   70685
 196,   70371
 197,   70769
 198,   70565
 199,   70535
 200,   70047
 201,   69977
 202,   69962
 203,   70291
 204,   69810
 205,   70021
 206,   69619
 207,   69881
 208,   69966
 209,   70265
