    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/03/06,14:32:14,MCA
MCA Data File,.asc
Comment,Labo:
Date,2019/12/11,15:52:55
Live Time,0,Real Time,0,Preset time,10000000,Dead Time,0,(%)
Spectrum Data,Start ch,0,End ch,1023
  chn  ,  data
   0,       0
   1,       0
   2,       0
   3,       0
   4,       0
   5,       0
   6,       0
   7,       0
   8,       0
   9,       0
  10,       0
  11,       0
  12,       0
  13,       0
  14,       0
  15,       0
  16,       0
  17,       0
  18,       0
  19,       0
  20,       0
  21,       0
  22,       0
  23,       0
  24,       0
  25,       0
  26,       0
  27,       0
  28,       0
  29,       0
  30,       0
  31,       0
  32,       0
  33,       0
  34,       0
  35,       0
  36,       0
  37,       0
  38,       0
  39,       0
  40,       0
  41,       0
  42,       0
  43,       0
  44,       0
  45,       0
  46,       0
  47,       0
  48,       0
  49,       0
  50,       0
  51,       0
  52,       0
  53,       0
  54,       0
  55,       0
  56,       0
  57,       0
  58,       0
  59,       0
  60,       0
  61,       0
  62,       0
  63,       0
  64,       0
  65,       0
  66,       0
  67,       0
  68,       0
  69,       0
  70,       0
  71,       0
  72,       0
  73,       0
  74,       0
  75,       0
  76,       0
  77,       0
  78,       0
  79,       0
  80,       0
  81,       0
  82,       0
  83,       0
  84,       0
  85,       0
  86,       0
  87,       0
  88,       0
  89,       0
  90,       0
  91,       0
  92,       0
  93,       0
  94,       0
  95,       0
  96,       0
  97,       0
  98,       0
  99,       0
 100,       0
 101,       0
 102,       0
 103,       0
 104,       0
 105,       0
 106,       0
 107,       0
 108,       0
 109,       0
 110,       0
 111,       0
 112,    8633
 113,   69453
 114,   75887
 115,   75870
 116,   74700
 117,   73597
 118,   70926
 119,   69810
 120,   68945
 121,   68328
 122,   68108
 123,   67899
 124,   68068
 125,   68161
 126,   67042
 127,   66625
 128,   65646
 129,   66374
 130,   66190
 131,   66680
 132,   67310
 133,   67449
 134,   67899
 135,   68150
 136,   67096
 137,   66785
 138,   66527
 139,   66444
 140,   66688
 141,   66999
 142,   66780
 143,   67439
 144,   67541
 145,   67108
 146,   67375
 147,   67484
 148,   67277
 149,   67690
 150,   67212
 151,   67477
 152,   67164
 153,   67814
 154,   67603
 155,   67460
 156,   67474
 157,   67438
 158,   66856
 159,   67170
 160,   67137
 161,   67629
 162,   67546
 163,   67179
 164,   67442
 165,   67348
 166,   67634
 167,   67274
 168,   68196
 169,   67175
 170,   68056
 171,   67547
 172,   68073
 173,   67607
 174,   67981
 175,   67767
 176,   67825
 177,   67623
 178,   67510
 179,   68015
 180,   67313
 181,   67767
 182,   67935
 183,   67500
 184,   67612
 185,   67723
 186,   67684
 187,   67707
 188,   67503
 189,   68282
 190,   67670
 191,   67452
 192,   67917
 193,   67640
 194,   67695
 195,   67514
 196,   68161
 197,   67592
 198,   67569
 199,   67580
 200,   67578
 201,   67438
 202,   67128
 203,   68434
 204,   67521
 205,   67625
 206,   67892
 207,   67956
 208,   67599
 209,   67202
